Subject,Condition,cType,gType,pType,trialsequence,stimulusNo,word1,word2,word3,word4,word5,word6,wl1,wl2,wl3,wl4,wl5,wl6,probeAns,probeACC,probeRT
1,2,2,1,1,102,11,550.892692,500.50829,350.533983,533.839624,550.47159,417.15924,3,3,2,4,3,2,j,1,1219.017652
1,1,0,1,0,89,3,667.429308,667.165888,600.434273,634.211133,533.874561,467.07771,4,3,4,4,3,4,j,1,785.319199
1,1,2,3,2,150,7,517.169319,884.203868,950.952796,517.181068,550.544248,367.136886,3,3,3,4,3,3,j,1,751.887382
1,2,3,2,2,41,15,533.730175,550.602991,483.887145,533.806233,667.280902,650.673361,3,3,2,3,3,4,j,1,835.030828
1,4,1,0,0,110,9,567.232794,467.155932,400.356298,333.676934,383.716911,367.10937,4,3,2,2,3,3,j,1,601.748592
1,4,3,3,8,18,10,583.920412,784.161943,800.767011,684.034376,683.994492,600.605249,3,3,4,2,2,3,f,1,1402.476646
1,2,3,2,8,58,18,634.090863,600.50322,400.475022,550.440363,550.594644,500.494377,3,2,2,3,3,3,f,1,735.165445
1,4,0,3,0,7,12,517.172102,650.640897,550.556924,450.471714,533.848281,500.498705,4,4,3,3,3,4,j,1,768.530788
1,2,0,1,0,133,21,500.409662,467.205091,450.381434,817.467615,467.152222,316.928098,4,3,2,3,3,3,j,1,618.37252
1,2,3,3,2,67,49,683.997583,667.355723,867.517795,717.39199,783.568629,367.582413,3,3,2,3,3,3,j,1,601.808882
1,4,1,2,5,47,16,550.489214,650.76766,533.790155,600.607413,650.656047,517.091715,4,3,3,3,3,2,f,1,1335.666809
1,4,2,2,1,134,17,583.8459,400.415351,667.314602,316.997972,467.115429,433.690723,3,4,3,5,2,3,j,1,851.975993
1,2,0,2,0,2,50,467.124396,433.779767,417.093385,483.868285,533.802523,433.742047,4,3,4,4,3,4,j,1,985.394701
1,2,2,3,7,119,57,667.318622,417.095858,383.725877,667.329752,416.540882,400.387216,3,3,2,4,3,4,f,1,735.950141
1,1,2,0,1,74,26,383.891906,517.103464,517.081203,467.189323,600.648224,400.40051,3,2,3,4,3,4,j,1,767.719812
1,2,1,0,4,171,77,600.522079,567.24176,567.493741,617.00935,367.311263,350.147818,4,2,2,3,4,3,f,1,751.74887
1,2,3,0,2,124,93,467.137072,450.56725,350.545422,433.456984,683.920598,367.103804,3,3,4,3,4,4,j,1,618.367573
1,1,1,0,4,62,35,550.542083,550.536209,333.300664,534.232899,516.69102,384.208505,4,3,3,3,4,4,f,1,601.786312
1,1,1,2,1,112,38,583.915156,517.170247,417.167897,517.113049,483.812942,583.892277,4,3,2,3,3,4,j,1,735.152459
1,4,3,2,2,33,39,650.626675,583.816528,500.495305,383.811829,617.285138,600.011316,3,3,3,2,3,4,j,1,668.338912
1,4,2,3,2,83,42,450.455637,533.864358,433.796772,383.673626,450.059888,400.805535,3,4,3,3,3,3,j,1,768.476991
1,4,1,1,0,162,43,700.708081,600.586079,500.506435,333.660238,433.839748,433.59055,4,3,3,3,3,3,j,1,985.457464
1,4,3,2,8,156,44,467.10028,433.812231,450.516854,366.952307,383.823578,400.313322,3,3,4,3,3,3,f,1,718.507507
1,4,0,3,4,81,46,500.592387,767.606034,416.923646,450.241067,500.593314,417.040206,4,4,3,4,3,3,f,1,768.565107
1,2,2,2,1,97,103,483.39555,501.075633,383.666515,684.005931,467.228898,333.583562,3,3,4,4,3,2,j,1,1202.200178
1,2,0,1,3,0,104,467.056376,516.779445,434.171187,500.509527,500.484483,450.460893,4,3,2,4,3,3,f,1,1352.440998
1,1,2,2,1,137,52,466.733284,450.832835,550.44531,383.838727,550.548885,350.338582,3,3,3,4,3,3,j,1,551.671823
1,2,1,3,5,52,112,584.006055,550.733156,500.418319,500.277643,484.037096,467.020821,4,3,2,3,3,3,f,1,718.467623
1,2,2,2,6,39,121,567.213934,817.609219,667.220303,717.363545,600.456224,584.053669,3,5,4,4,3,3,f,1,701.735483
1,2,0,0,0,164,138,433.730608,433.897873,333.551408,300.297677,467.230444,383.721858,4,2,2,4,2,3,j,1,801.91963
