stimulusNo,wl1,wl2,wl3,wl4,wl5,wl6
0,4,3,4,3,3,4
3,4,3,4,4,3,4
7,3,3,3,4,3,3
8,3,4,3,2,3,5
9,4,3,2,2,3,3
10,3,3,4,2,2,3
11,3,3,2,4,3,2
12,4,4,3,3,3,4
14,4,3,3,3,3,4
15,3,3,2,3,3,4
16,4,3,3,3,3,2
17,3,4,3,5,2,3
18,3,2,2,3,3,3
21,4,3,2,3,3,3
26,3,2,3,4,3,4
27,4,3,3,3,4,4
29,4,3,3,4,3,3
31,4,3,3,2,3,3
35,4,3,3,3,4,4
38,4,3,2,3,3,4
39,3,3,3,2,3,4
42,3,4,3,3,3,3
43,4,3,3,3,3,3
44,3,3,4,3,3,3
46,4,4,3,4,3,3
49,3,3,2,3,3,3
50,4,3,4,4,3,4
51,4,3,3,3,3,4
52,3,3,3,4,3,3
55,4,4,3,2,3,4
57,3,3,2,4,3,4
63,4,4,3,2,2,3
66,3,4,2,3,3,2
67,3,2,3,3,3,4
70,4,3,3,4,3,4
72,4,3,3,3,3,4
75,3,4,3,2,2,2
76,3,3,2,4,3,4
77,4,2,2,3,4,3
81,3,3,3,3,3,2
85,4,4,3,3,3,3
90,3,3,3,3,3,5
91,4,3,3,3,3,4
92,4,3,3,3,3,4
93,3,3,4,3,4,4
94,4,4,4,2,3,3
97,4,4,2,2,2,3
99,4,3,3,4,3,3
100,3,3,2,3,2,3
103,3,3,4,4,3,2
104,4,3,2,4,3,3
109,4,3,3,2,3,4
111,3,4,3,2,3,4
112,4,3,2,3,3,3
120,4,3,3,4,3,4
121,3,5,4,4,3,3
124,3,4,3,2,3,4
126,4,4,3,1,3,4
127,4,3,2,2,2,3
130,3,3,3,3,2,3
132,3,4,3,4,3,4
133,3,2,3,4,3,2
134,3,4,3,3,3,4
138,4,2,2,4,2,3
141,4,4,2,4,3,4
143,3,3,2,3,3,4
146,4,4,4,5,2,3
147,3,3,3,3,3,2
149,3,3,3,3,3,4
151,4,3,3,1,3,3
157,3,3,4,4,3,4
158,4,3,2,3,3,4
159,4,3,2,3,2,2
162,3,3,2,3,3,2
163,4,4,3,1,3,4
164,3,3,4,2,3,4
166,3,4,3,2,3,4
170,4,3,3,2,3,4
174,4,4,3,2,3,4
176,4,2,3,3,4,2
177,3,3,2,3,3,3
180,3,4,3,3,3,4
181,4,3,4,4,3,2
183,4,4,3,3,3,3
184,4,4,2,2,2,3
186,3,3,4,4,3,4
187,4,3,1,3,3,3
191,3,2,1,3,3,3
193,3,3,3,3,3,4
194,4,3,3,4,3,3
205,3,3,3,3,3,3
206,4,3,3,2,3,4
207,3,3,2,2,3,3
208,3,3,3,3,3,4
209,3,4,3,3,3,2
211,3,3,3,2,3,3
213,3,3,3,4,3,4
214,3,3,2,3,3,3
218,3,4,3,1,3,4
221,3,3,3,3,3,4
222,4,3,3,2,3,3
225,3,3,3,3,3,3
229,3,3,1,4,2,2
233,3,3,3,3,3,4
234,3,4,2,3,3,3
242,4,4,2,3,3,4
244,3,3,2,3,2,3
245,3,4,3,3,2,3
246,4,3,4,3,3,2
247,3,2,3,4,3,3
248,4,3,3,3,4,3
252,4,3,3,4,3,3
253,3,3,2,4,2,3
254,4,4,2,4,3,2
262,4,4,1,3,3,4
263,4,3,3,2,3,4
264,4,4,1,3,3,3
265,3,4,3,1,3,4
266,4,3,2,2,3,3
268,3,4,3,4,3,3
272,3,4,3,4,3,2
274,3,3,3,1,3,4
275,4,4,2,2,4,4
277,4,2,3,4,3,5
279,3,3,4,3,3,3
283,4,4,3,2,3,4
285,3,3,3,4,3,3
286,4,3,3,4,3,3
287,3,3,3,4,2,4
291,3,3,3,4,3,4
294,3,4,3,3,2,2
296,4,2,4,3,2,2
297,3,3,2,4,3,4
305,4,3,2,4,3,3
308,4,2,3,3,3,3
309,3,3,2,3,3,4
313,3,4,3,2,2,5
316,4,4,3,2,3,3
317,4,4,3,3,3,4
322,4,4,3,2,3,4
323,3,3,3,4,3,4
324,4,3,4,4,4,4
325,3,3,3,2,3,2
326,4,3,4,4,3,3
328,4,4,3,3,3,3
329,4,3,3,3,3,3
330,4,4,3,3,5,3
332,3,3,2,4,4,4
337,3,3,3,2,4,4
338,3,4,3,4,3,4
339,4,2,1,4,3,4
340,3,4,2,2,3,2
341,4,3,3,2,3,3
344,3,3,2,4,3,4
345,4,3,2,4,3,4
346,4,3,3,4,3,3
347,4,3,2,3,3,4
348,3,3,3,3,3,4
349,3,3,3,4,3,3
352,4,2,2,4,2,3
