type,stimulusNo,sentence,probe,CorrAns,pType,cType,gType
3,0,정식이가 광수가 카메라를 빼앗긴 상황을 조사했다,광수가 카메라를 조사했다.,f,5,1,1
5,1,윤지가 하루는 대준이가 사는 동네로 들어섰다,동네로 들어선 사람은 대준이다.,f,3,2,3
5,2,상희가 경험을 토대로 병원을 효율적으로 운영했다,상희가 운영한 것은 술집이다.,f,7,3,4
1,3,용석이가 의사를 소개해준 종철이가 치료를 계획했다,의사를 소개해준 사람은 용석이다.,j,0,0,1
7,4,철훈이가 건물 앞의 주택에서 낯선 형태의 빨간 버스를 처음 목격했다,철훈이가 빨간 버스를 처음 탔다.,f,,,
5,5,유나가 우리나라 중소기업 사장의 특성을 분석했다,특성을 분석한 사람은 지예다.,f,6,2,4
5,6,주호가 소라의 불가피한 행동에 고개를 저었다,주호가 저은 것은 손이다. ,f,8,3,2
1,7,예지가 작업을 도와준 영석이가 약속을 늦었다,예지가 작업을 도와줬다.,j,2,2,3
3,8,동수가 종환이가 식사를 정한 방법을 궁금해했다,방법을 궁금해한 사람은 근우다.,f,6,2,1
4,9,정옥이가 하라가 골을 넣자 소리를 질렀다,소리를 지른 사람은 정옥이다.,j,0,1,0
4,10,보희가 근수가 자동차를 타자 짐을 실었다,보희가 짐을 버렸다.,f,8,3,3
2,11,민우가 봉투를 쥐고 영민이가 우산을 썼다,영민이가 쓴 것은 우산이다.,j,1,2,1
4,12,소율이가 종성이가 얼굴을 만지자 거울을 가져왔다,거울을 가져온 사람은 소율이다.,j,0,0,3
5,13,하율이가 드디어 담배를 끊을 계기를 마련했다,하율이가 담배를 마련했다.,f,5,1,4
3,14,서윤이가 성태가 갈등을 해결한 실적을 인정했다,성태가 해결한 것은 갈등이다.,j,1,1,3
2,15,창수가 원고를 쓰고 연주가 표현을 파악했다,연주가 표현을 파악했다.,j,2,3,2
4,16,상철이가 슬아가 햇빛을 피하자 우산을 폈다,상철이가 우산을 피했다.,f,5,1,2
4,17,경재가 명선이가 거리를 돌아다니자 뒤를 따랐다,명선이가 돌아다닌 곳은 거리다.,j,1,2,2
2,18,민구가 빵을 굽고 소미가 식탁을 꺼냈다,소미가 식탁을 닦았다.,f,8,3,2
5,19,정태가 유통 과정에서 꽤 활발히 관여했다,정태가 유통 과정에 관여했다.,j,2,3,5
5,20,진섭이가 재미있는 춤을 따라하다가 가사를 틀렸다,진섭이가 틀린 것은 춤이다.,f,4,0,5
2,21,지훈이가 전화를 받고 상진이가 인쇄를 맡았다,전화를 받은 사람은 지훈이다.,j,0,0,1
7,22,낮부터 손님으로 혼잡한 가게의 종업원이 엄청난 양의 업무를 혼자서 견뎠다,종업원이 견딘 것은 비난이다.,f,,,
5,23,달수가 매일 학생들한테 힘든 훈련을 시켰다,달수가 시킨 것은 훈련이다.,j,1,2,5
5,24,용주가 매년 가을이 되면 곡식을 걷었다,용주가 걷은 것은 곡식이다.,j,1,2,5
5,25,미희가 현호가 놓친 기사를 반쯤 읽었다,기사를 놓친 사람은 미희다.,f,3,3,3
1,26,민주가 책을 빌려준 소연이가 내용을 분석했다,민주가 빌려준 것은 책이다.,j,1,2,0
3,27,민정이가 선주가 고기를 구워준 목사님을 떠올렸다,민정이가 떠올린 것은 고기다.,f,4,1,0
5,28,영찬이가 무턱대고 태종이한테 큰소리로 고함을 질렀다,영찬이가 지른 것은 고함이다.,j,1,0,1
1,29,정환이가 부담을 줄여준 미경이가 정신을 차렸다,부담을 줄여준 사람은 미경이다.,f,3,0,2
7,30,낮엔 과거 형사로 유명했던 남성이 집 근처에서 어설픈 강도를 붙잡았다,남성이 붙잡은 것은 버스기사다.,f,,,
3,31,기영이가 은주가 증거를 찾은 사건을 알렸다,기영이가 사건을 찾았다.,f,5,1,2
5,32,승리가 멀리서 혼자만 있는 동생을 걱정했다,승리가 걱정한 사람은 동생이다.,j,1,2,5
5,33,희라가 매일 단백질이 풍부한 음식을 먹었다,음식을 먹은 사람은 규예다.,f,6,2,4
5,34,기덕이가 사무실 온도를 낮추고 창문을 고정했다,기덕이가 온도를 고정했다.,f,5,1,5
1,35,예원이가 업무를 바꿔준 정희가 보고서를 작성했다,예원이가 바꿔준 것은 보고서다.,f,4,1,0
5,36,연규가 아파트 주민 개개인의 신고를 관리했다,연규가 관리한 것은 신고다.,j,1,2,5
5,37,정혁이가 숲 속으로 이어진 발자국을 발견했다,정혁이가 발견한 것은 발자국이다.,j,1,1,5
1,38,경식이가 신호를 보낸 혜리가 시선을 고정했다,경식이가 보낸 것은 신호다.,j,1,1,2
4,39,윤수가 인희가 경계를 풀자 사정을 설명했다,윤수가 사정을 설명했다.,j,2,3,2
5,40,지용이가 인터넷에 올라온 사진에 크게 소리쳤다,사진에 크게 소리친 사람은 지용이다.,j,0,1,5
5,41,희주가 동료의 구체적인 의견을 규정에 반영했다,희주가 의견을 규정에 반영했다.,j,2,2,4
4,42,아리가 승민이가 허락을 해주자 축제를 즐겼다,승민이가 허락을 해줬다.,j,2,2,3
4,43,순철이가 택우가 발언을 마치자 관심을 보였다,관심을 보인 사람은 순철이다.,j,0,1,1
4,44,철규가 경혜가 백화점을 나서자 인사를 나눴다,경혜가 백화점을 운영했다.,f,8,3,2
5,45,채아가 높은 언덕 위에서 자전거를 탔다 ,채아가 탄 것은 기차다.,f,8,3,4
4,46,주선이가 태영이가 행사를 참가하자 일정을 줄였다,주선이가 줄인 것은 행사다.,f,4,0,3
5,47,범석이가 새삼 한국의 밝은 미래를 전망했다,밝은 미래를 전망한 사람은 범석이다.,j,0,0,5
5,48,지애가 데이터를 기반으로 주식 투자를 성공했다,지애가 성공한 것은 입학이다.,f,8,3,4
2,49,규희가 시간을 벌고 정호가 무대를 바꿨다,정호가 무대를 바꿨다.,j,2,3,3
2,50,정민이가 영화를 선택하고 서연이가 방향을 확인했다,영화를 선택한 사람은 정민이다.,j,0,0,2
3,51,순옥이가 지우가 자료를 완성한 주제를 발표했다,주제를 발표한 사람은 순옥이다.,j,0,1,0
1,52,준호가 기술을 제공한 정순이가 기계를 다뤘다,정순이가 다룬 것은 기계다.,j,1,2,2
5,53,한별이가 부모의 부탁에 자발적으로 술을 끊었다,한별이가 끊은 것은 술이다.,j,1,1,4
5,54,다현이가 열매를 따서 딱딱한 씨를 꺼냈다,다현이가 열매를 꺼냈다.,f,5,1,4
3,55,민석이가 서현이가 흥미를 가진 분야를 알아봤다,흥미를 가진 사람은 서현이다.,j,0,0,2
5,56,수지가 학생들에게 윤미가 느낀 감동을 전했다,감동을 느낀 사람은 수지다.,f,3,3,0
2,57,경화가 논리를 펴고 정현이가 근거를 강화했다,정현이가 강화한 것은 신체다.,f,7,2,3
7,58,뉴스에서 외국 기업의 고위 간부가 일주일 만에 처음 얼굴을 비추었다,고위 간부가 얼굴을 감췄다.,f,,,
5,59,수철이가 여옥이의 빛나는 아이디어를 즉각 선택했다,수철이가 선택한 것은 아이디어다.,j,1,0,2
7,60,비교적 따뜻한 햇살 속에서 사람들이 많은 어린이들이 노는 모습을 구경했다,사람들이 구경한 것은 나무다.,f,,,
5,61,하리가 탁월한 업무 처리 능력을 보유했다,하리가 업무 처리 능력을 보유했다.,j,2,3,4
5,62,세호가 슬슬 시민단체와 같이 건물을 둘러쌌다,세호가 건물을 둘러쌌다.,j,2,3,5
3,63,영길이가 상훈이가 정리를 마친 방을 찾았다,정리를 마친 사람은 상훈이다.,j,0,0,1
5,64,효연이가 혜원이의 앞을 향해 빠르게 달려들었다,효연이가 빠르게 달려들었다.,j,2,0,0
5,65,윤태가 동아시아의 정치적 변화를 정확하게 예측했다,변화를 예측한 사람은 종우다.,f,6,2,5
4,66,승희가 시윤이가 팔을 때리자 도망을 쳤다,도망을 친 사람은 희지다.,f,6,2,0
