Subject,Condition,RC,CE,probeACC,probeRT
1,2,NonRC,NonCE,1,1069.0897
1,3,RC,CE,0,1569.578048
1,2,NonRC,NonCE,0,1886.608696
1,3,RC,CE,0,0
1,3,RC,CE,1,1653.163594
1,3,RC,CE,1,1536.121507
1,2,NonRC,NonCE,1,1819.836908
1,3,RC,CE,0,1769.859401
1,1,RC,NonCE,1,1270.278493
1,4,NonRC,CE,0,2086.826976
1,1,RC,NonCE,1,1719.779246
1,1,RC,NonCE,1,1936.672155
1,1,RC,NonCE,1,1002.111073
1,1,RC,NonCE,1,969.011633
1,1,RC,NonCE,1,1069.04858
1,1,RC,NonCE,1,1719.670415
1,4,NonRC,CE,1,1086.075362
1,4,NonRC,CE,1,2603.99799
1,3,RC,CE,1,1351.203246
1,4,NonRC,CE,1,2721.472309
1,2,NonRC,NonCE,0,2302.624464
1,4,NonRC,CE,0,2554.137662
1,1,RC,NonCE,1,2286.935189
1,1,RC,NonCE,1,802.1942417
1,2,NonRC,NonCE,1,902.0923672
1,2,NonRC,NonCE,1,952.3045409
1,4,NonRC,CE,1,2837.412174
1,1,RC,NonCE,0,1469.563362
1,4,NonRC,CE,0,3454.169044
1,2,NonRC,NonCE,1,969.0057584
1,3,RC,CE,0,2637.777623
1,2,NonRC,NonCE,1,1502.964251
1,1,RC,NonCE,0,2603.850821
1,3,RC,CE,1,1285.924483
1,3,RC,CE,1,2319.22087
1,3,RC,CE,1,1352.496541
1,4,NonRC,CE,1,1319.320116
1,2,NonRC,NonCE,1,885.2677874
1,2,NonRC,NonCE,1,802.1896039
1,3,RC,CE,0,2820.855343
1,3,RC,CE,0,2452.729817
1,1,RC,NonCE,1,1469.498744
1,2,NonRC,NonCE,1,1518.452251
1,3,RC,CE,0,2035.516908
1,2,NonRC,NonCE,1,835.6374879
1,2,NonRC,NonCE,0,884.4868019
1,3,RC,CE,0,1936.583729
1,3,RC,CE,1,2153.244135
1,1,RC,NonCE,1,1102.41886
1,4,NonRC,CE,1,2887.551691
1,2,NonRC,NonCE,1,769.3826472
1,4,NonRC,CE,1,1219.210821
1,4,NonRC,CE,1,2253.704966
1,2,NonRC,NonCE,1,752.0324639
1,4,NonRC,CE,1,1853.812869
1,1,RC,NonCE,1,1203.193198
1,3,RC,CE,1,2320.332985
1,3,RC,CE,1,1285.815961
1,2,NonRC,NonCE,0,1552.666589
1,3,RC,CE,0,1569.560734
1,3,RC,CE,1,2320.675865
