SubjectNo,Subject,Condition,pType,trialsequence,stimulusNo,word1,word2,word3,word4,word5,word6,wl1,wl2,wl3,wl4,wl5,wl6,probeAns,probeACC,probeRT
1,1,2,4,0,73,1084.343343,967.6929854,1584.223846,1251.898744,1101.132986,667.3688116,3,3,3,3,3,3,f,1,1069.0897
1,1,3,4,6,56,900.9159419,1251.260908,1234.549797,900.9143962,1167.671961,634.0915943,3,3,3,2,3,3,f,1,1653.163594
1,1,3,1,7,63,1067.80228,1167.751729,834.1738358,767.3853526,734.183884,750.7438068,3,3,3,2,3,3,j,1,1536.121507
1,1,2,0,9,68,717.225739,850.9313238,784.0213333,917.7111497,1084.60058,1134.228097,3,3,3,3,3,3,j,1,1819.836908
1,1,1,1,11,43,867.314087,800.8990919,1167.760386,1668.396522,1334.662802,717.3939324,3,3,2,3,3,3,j,1,1270.278493
1,1,1,6,14,51,1050.890512,1001.045642,1017.605565,850.9665702,1267.898126,717.3633236,3,3,2,3,3,3,f,1,1719.779246
1,1,1,0,15,9,1050.895768,1184.668135,1534.831614,1251.291517,834.1438454,717.4542223,3,3,2,3,3,3,j,1,1936.672155
1,1,1,7,16,26,750.6999034,1251.259053,1868.640155,917.6746667,784.0414299,583.7971787,3,3,2,3,3,3,f,1,1002.111073
1,1,1,1,18,38,684.0125218,800.740483,850.8861836,1785.19343,1201.062647,500.4982415,3,3,2,3,3,3,j,1,969.011633
1,1,1,5,19,57,833.6216426,884.7356909,734.0648503,1918.500483,550.5771595,583.9675362,3,3,2,3,3,3,f,1,1069.04858
1,1,1,6,20,62,750.7778164,717.3809467,1217.888464,850.8398067,667.2939905,550.6195168,3,3,2,3,3,3,f,1,1719.670415
1,1,4,2,21,27,617.155401,700.6104735,1585.113353,650.5859711,684.0496231,667.3103769,3,3,3,3,3,3,f,1,1086.075362
1,1,4,0,22,3,951.0078456,717.1388599,1234.765913,1268.105894,1584.781913,483.7113814,3,3,3,3,3,3,j,1,2603.99799
1,1,3,2,23,65,767.4555362,1501.399807,884.248425,684.0477681,1034.35656,667.3450049,3,3,3,2,3,3,f,1,1351.203246
1,1,4,7,24,54,667.3147054,1417.966377,2352.429759,1351.324754,984.4013138,1601.540638,3,3,3,3,3,3,f,1,2721.472309
1,1,1,0,27,94,683.776,1351.526957,1601.60742,934.3261062,817.4531402,650.627401,3,3,2,3,3,3,j,1,2286.935189
1,1,1,1,28,88,1084.381063,1134.448232,850.8490822,2018.714589,667.430029,550.4105121,3,3,2,3,3,3,j,1,802.1942417
1,1,2,6,29,13,767.3983381,784.2832077,850.7065508,1001.006068,633.969778,550.5184154,3,3,3,3,3,3,f,1,902.0923672
1,1,2,1,30,92,650.6740868,633.9722513,1084.348599,700.7440387,567.2221063,433.7511885,3,3,3,3,3,3,j,1,952.3045409
1,1,4,1,31,31,717.3831111,800.8644637,800.7602706,1084.37828,1184.548483,1267.910493,3,3,3,3,3,3,j,1,2837.412174
1,1,2,7,34,8,617.1445798,800.7380096,900.8850241,683.8520579,550.8130628,567.1893335,3,3,3,3,3,3,f,1,969.0057584
1,1,2,3,37,69,1484.853488,2085.48143,1568.264348,1635.057159,767.3031113,617.269797,3,3,3,3,3,3,f,1,1502.964251
1,1,3,1,39,33,567.2783768,1668.390338,1568.144696,934.0051787,1318.267671,900.9079034,3,3,3,2,3,3,j,1,1285.924483
1,1,3,7,40,30,767.4014301,917.7327922,750.6934106,834.1438454,2619.341604,817.4015072,3,3,3,2,3,3,f,1,2319.22087
1,1,3,6,41,49,550.0617586,868.3588018,650.3565605,600.5565217,2168.173759,2103.889623,3,3,3,2,3,3,f,1,1352.496541
1,1,4,3,42,55,850.9984154,1001.104387,834.1336425,1151.089778,900.9474784,2035.396328,3,3,3,3,3,3,f,1,1319.320116
1,1,2,7,43,21,750.61457,700.7576425,583.4580096,584.3391691,650.5470145,533.9628211,3,3,3,3,3,3,f,1,885.2677874
1,1,2,7,45,74,784.1740677,1651.560193,1384.264966,634.4013913,500.4917488,583.7755364,3,3,3,3,3,3,f,1,802.1896039
1,1,1,3,48,15,817.4948792,784.0933721,984.3274201,1785.094493,617.2636135,1001.106241,3,3,2,3,3,3,f,1,1469.498744
1,1,2,2,49,90,900.9406765,984.2900096,1384.74172,683.9859323,517.2442899,483.7936233,3,3,3,3,3,3,f,1,1518.452251
1,1,2,1,53,6,650.7223188,834.1633237,800.8153043,550.5131595,517.0937197,734.2917875,3,3,3,3,3,3,j,1,835.6374879
1,1,3,5,57,36,1117.885527,1751.705043,1267.663768,600.9467053,1584.773565,734.266744,3,3,3,2,3,3,f,1,2153.244135
1,1,1,5,58,17,917.5744927,984.3187633,784.1518067,1835.050667,1251.375304,533.8292562,3,3,2,3,3,3,f,1,1102.41886
1,1,4,0,59,95,600.4492366,750.8263576,900.8720387,700.6852946,2435.792696,717.4097004,3,3,3,3,3,3,j,1,2887.551691
1,1,2,1,60,86,617.0997487,734.3146668,533.8595554,500.3751884,517.3806378,517.0108599,3,3,3,3,3,3,j,1,769.3826472
1,1,4,5,61,20,533.6604444,801.0147247,583.8979711,1668.582647,2218.624927,650.3670726,3,3,3,3,3,3,f,1,1219.210821
1,1,4,4,62,48,717.4709181,1217.880425,617.2914396,2001.951536,1501.500908,917.6459131,3,3,3,3,3,3,f,1,2253.704966
1,1,2,1,63,81,884.2363672,917.5726376,684.1627827,533.8957293,550.6167344,400.2454879,3,3,3,3,3,3,j,1,752.0324639
1,1,4,1,64,45,617.2141449,750.7595748,567.2001545,784.0819324,3053.050744,617.2524833,3,3,3,3,3,3,j,1,1853.812869
1,1,1,3,65,58,567.1420291,550.6210628,617.2620677,750.7833815,567.1834589,467.1344541,3,3,2,3,3,3,f,1,1203.193198
1,1,3,7,67,32,517.2040965,1167.808309,517.1688502,1651.515053,1151.323826,717.3067441,3,3,3,2,3,3,f,1,2320.332985
1,1,3,6,69,41,634.1033431,950.8909758,1584.854261,1401.397179,3203.161662,867.4482706,3,3,3,2,3,3,f,1,1285.815961
1,1,3,0,76,75,567.2292174,1668.259555,767.375459,550.5972561,1184.529623,634.0074975,3,3,3,2,3,3,j,1,2320.675865
1,1,4,1,77,10,850.5992657,817.6460676,600.6115556,1167.895807,3419.974493,700.7551691,3,3,3,3,3,3,j,1,2070.62972
1,1,3,1,79,97,717.3948598,1234.619053,834.1188021,1184.576309,1418.078918,583.9152848,3,3,3,2,3,3,j,1,1870.000232
1,1,1,2,80,53,767.4496619,600.678029,517.0720771,834.1766184,1001.070068,467.0361353,3,3,2,3,3,3,f,1,1319.025778
1,1,3,0,81,34,984.2961931,900.908831,533.5952076,900.5189566,1068.158145,650.8911306,3,3,3,2,3,3,j,1,1687.424927
1,1,1,4,83,25,700.7313624,984.2881546,1184.564251,1501.433507,650.7340677,433.7258358,3,3,2,3,3,3,f,1,1052.406725
1,1,3,7,84,79,1234.613797,1050.975536,817.2722706,1334.903652,1084.358802,1801.924019,3,3,3,2,3,3,f,1,1302.668986
1,1,1,1,85,19,1534.882628,1017.706357,634.0074977,2452.315826,717.4696811,1384.59857,3,3,2,3,3,3,j,1,836.0088116
1,1,1,1,86,16,767.3773139,834.2607152,1284.549256,1234.63915,717.3487924,483.8681351,3,3,2,3,3,3,j,1,818.7767344
1,1,4,5,87,5,600.7911884,1634.958222,1201.175188,1201.19714,700.6914783,650.6005025,3,3,3,3,3,3,f,1,884.5594588
1,1,3,1,88,67,967.6537197,1351.406068,884.3353044,900.7530047,700.6710726,1001.097275,3,3,3,2,3,3,j,1,869.5658357
1,1,2,1,89,37,850.8895845,984.3438067,550.6204444,600.5756909,750.7042319,550.7172174,3,3,3,3,3,3,j,1,617.4695266
1,1,3,2,90,0,800.8517874,1368.031536,667.2259709,800.9281547,634.0105892,550.5094493,3,3,3,2,3,3,f,1,1284.998184
1,1,2,1,91,23,617.3433817,750.6652754,517.2167728,517.1945121,583.8927152,517.1537003,3,3,3,3,3,3,j,1,1619.566377
1,1,2,6,92,98,583.9526956,767.555401,550.4197874,500.5025701,483.9361545,550.3777391,3,3,3,3,3,3,f,1,1052.251517
1,1,4,1,94,24,600.4650048,1284.726416,700.7189952,850.9449274,1050.956676,467.1526956,3,3,3,3,3,3,j,1,1303.896116
1,1,4,4,95,35,551.1098744,817.3294687,684.0678647,683.9927342,784.1388213,517.0210628,3,3,3,3,3,3,f,1,1101.253565
1,1,4,6,96,60,567.2619904,884.2901643,700.7551691,650.5618549,567.20943,500.3971399,3,3,3,3,3,3,f,1,1053.037758
1,1,1,0,97,96,717.4687537,784.1601546,667.4096233,1384.623304,600.6307246,533.8542997,3,3,2,3,3,3,j,1,2421.663536
1,1,2,7,99,11,500.4552656,650.6493527,533.7262996,600.6894684,566.5372754,467.8696811,3,3,3,3,3,3,f,1,1018.950184
1,1,4,0,100,199,650.6366765,1651.632541,584.0040192,617.2960773,550.4924445,450.4066473,3,3,3,3,3,3,j,1,2520.223227
1,1,3,1,101,152,650.5497971,1184.502106,700.6877682,984.3314397,683.9893332,567.1157488,3,3,3,2,3,3,j,1,1636.489275
1,1,2,4,102,177,550.5360388,784.129855,633.9716329,617.2654685,533.8870725,483.9392465,3,3,3,3,3,3,f,1,1201.624734
1,1,2,4,103,163,567.2307634,567.3111498,583.8052174,650.7594204,617.1693138,600.6672077,3,3,3,3,3,3,f,1,1119.390609
1,1,2,3,104,162,650.6682124,684.0100484,567.2616812,600.5688889,600.6214493,567.228599,3,3,3,3,3,3,f,1,1019.008928
1,1,2,0,105,116,600.5654878,650.6459517,583.842319,583.9233235,550.5632465,634.0071883,3,3,3,3,3,3,j,1,1868.841739
1,1,2,5,106,130,534.7357681,650.5732948,634.0183187,634.011517,650.5538162,817.5449662,3,3,3,3,3,3,f,1,1051.157333
1,1,3,1,108,129,634.0708793,1284.55915,717.476174,734.0633043,700.5971787,633.9781256,3,3,3,2,3,3,j,1,834.3890239
